Year,Repo,Hours Requested,Hours Used,GPU Requested,GPU Used,Storage Requested,Storage Used
2020,project-alpha,5000,2940,300,140,120,60
2020,project-beta,5200,3110,160,40,130,55
2020,project-gamma,5400,3210,360,180,125,70
2020,project-delta,4800,2630,140,80,115,45
2021,project-alpha,5300,3120,320,165,125,66
2021,project-beta,5500,3290,180,50,135,61
2021,project-gamma,5700,3390,380,205,130,76
2021,project-delta,5100,2810,160,95,120,51
2022,project-alpha,5600,3300,340,185,130,72
2022,project-beta,5800,3470,200,60,140,67
2022,project-gamma,6000,3570,400,225,135,82
2022,project-delta,5400,2990,180,110,125,57
2023,project-alpha,5900,3480,360,205,135,78
2023,project-beta,6100,3650,220,70,145,73
2023,project-gamma,6300,3750,420,245,140,88
2023,project-delta,5700,3170,200,125,130,63
2024,project-alpha,6200,3660,380,225,140,84
2024,project-beta,6400,3830,240,80,150,79
2024,project-gamma,6600,3930,440,265,145,94
2024,project-delta,6000,3350,220,140,135,69
2025,project-alpha,6500,3840,400,245,145,90
2025,project-beta,6700,4010,260,90,155,85
2025,project-gamma,6900,4110,460,285,150,100
2025,project-delta,6300,3530,240,155,140,75
2026,project-alpha,6800,4020,420,265,150,96
2026,project-beta,7000,4190,280,100,160,91
2026,project-gamma,7200,4290,480,305,155,106
2026,project-delta,6600,3710,260,170,145,81
