Year,Repo,PI User Id,User Id,Office,Science Category,CPU Node Hours Charged,GPU Node Hours Charged
2020,project-alpha,amber-river,amber-river,Office Alpha,Materials,1200,80
2020,project-alpha,amber-river,brisk-signal,Office Alpha,Materials,980,40
2020,project-alpha,amber-river,calm-vector,Office Alpha,Materials,760,20
2020,project-beta,daring-orbit,calm-vector,Office Beta,Climate,1320,10
2020,project-beta,daring-orbit,daring-orbit,Office Beta,Climate,880,0
2020,project-beta,daring-orbit,eager-matrix,Office Beta,Climate,910,30
2020,project-gamma,brisk-signal,brisk-signal,Office Gamma,Energy,1500,100
2020,project-gamma,brisk-signal,eager-matrix,Office Gamma,Energy,990,50
2020,project-gamma,brisk-signal,gentle-lattice,Office Gamma,Energy,720,30
2020,project-delta,gentle-lattice,amber-river,Office Delta,Physics,640,0
2020,project-delta,gentle-lattice,gentle-lattice,Office Delta,Physics,1180,60
2020,project-delta,gentle-lattice,honest-circuit,Office Delta,Physics,810,20
2021,project-alpha,brisk-signal,amber-river,Office Alpha,Materials,1260,90
2021,project-alpha,brisk-signal,brisk-signal,Office Alpha,Materials,1040,50
2021,project-alpha,brisk-signal,calm-vector,Office Alpha,Materials,820,25
2021,project-beta,eager-matrix,calm-vector,Office Beta,Climate,1380,15
2021,project-beta,eager-matrix,daring-orbit,Office Beta,Climate,940,0
2021,project-beta,eager-matrix,eager-matrix,Office Beta,Climate,970,35
2021,project-gamma,calm-vector,brisk-signal,Office Gamma,Energy,1560,110
2021,project-gamma,calm-vector,eager-matrix,Office Gamma,Energy,1050,60
2021,project-gamma,calm-vector,gentle-lattice,Office Gamma,Energy,780,35
2021,project-delta,honest-circuit,amber-river,Office Delta,Physics,700,0
2021,project-delta,honest-circuit,gentle-lattice,Office Delta,Physics,1240,70
2021,project-delta,honest-circuit,honest-circuit,Office Delta,Physics,870,25
2022,project-alpha,calm-vector,amber-river,Office Alpha,Materials,1320,100
2022,project-alpha,calm-vector,brisk-signal,Office Alpha,Materials,1100,55
2022,project-alpha,calm-vector,calm-vector,Office Alpha,Materials,880,30
2022,project-beta,amber-river,calm-vector,Office Beta,Climate,1440,20
2022,project-beta,amber-river,daring-orbit,Office Beta,Climate,1000,0
2022,project-beta,amber-river,eager-matrix,Office Beta,Climate,1030,40
2022,project-gamma,daring-orbit,brisk-signal,Office Gamma,Energy,1620,120
2022,project-gamma,daring-orbit,eager-matrix,Office Gamma,Energy,1110,65
2022,project-gamma,daring-orbit,gentle-lattice,Office Gamma,Energy,840,40
2022,project-delta,eager-matrix,amber-river,Office Delta,Physics,760,0
2022,project-delta,eager-matrix,gentle-lattice,Office Delta,Physics,1300,80
2022,project-delta,eager-matrix,honest-circuit,Office Delta,Physics,930,30
2023,project-alpha,daring-orbit,amber-river,Office Alpha,Materials,1380,110
2023,project-alpha,daring-orbit,brisk-signal,Office Alpha,Materials,1160,60
2023,project-alpha,daring-orbit,calm-vector,Office Alpha,Materials,940,35
2023,project-beta,brisk-signal,calm-vector,Office Beta,Climate,1500,25
2023,project-beta,brisk-signal,daring-orbit,Office Beta,Climate,1060,0
2023,project-beta,brisk-signal,eager-matrix,Office Beta,Climate,1090,45
2023,project-gamma,amber-river,brisk-signal,Office Gamma,Energy,1680,130
2023,project-gamma,amber-river,eager-matrix,Office Gamma,Energy,1170,70
2023,project-gamma,amber-river,gentle-lattice,Office Gamma,Energy,900,45
2023,project-delta,calm-vector,amber-river,Office Delta,Physics,820,0
2023,project-delta,calm-vector,gentle-lattice,Office Delta,Physics,1360,90
2023,project-delta,calm-vector,honest-circuit,Office Delta,Physics,990,35
2024,project-alpha,eager-matrix,amber-river,Office Alpha,Materials,1440,120
2024,project-alpha,eager-matrix,brisk-signal,Office Alpha,Materials,1220,65
2024,project-alpha,eager-matrix,calm-vector,Office Alpha,Materials,1000,40
2024,project-beta,calm-vector,calm-vector,Office Beta,Climate,1560,30
2024,project-beta,calm-vector,daring-orbit,Office Beta,Climate,1120,0
2024,project-beta,calm-vector,eager-matrix,Office Beta,Climate,1150,50
2024,project-gamma,gentle-lattice,brisk-signal,Office Gamma,Energy,1740,140
2024,project-gamma,gentle-lattice,eager-matrix,Office Gamma,Energy,1230,75
2024,project-gamma,gentle-lattice,gentle-lattice,Office Gamma,Energy,960,50
2024,project-delta,amber-river,amber-river,Office Delta,Physics,880,0
2024,project-delta,amber-river,gentle-lattice,Office Delta,Physics,1420,100
2024,project-delta,amber-river,honest-circuit,Office Delta,Physics,1050,40
2025,project-alpha,gentle-lattice,amber-river,Office Alpha,Materials,1500,130
2025,project-alpha,gentle-lattice,brisk-signal,Office Alpha,Materials,1280,70
2025,project-alpha,gentle-lattice,calm-vector,Office Alpha,Materials,1060,45
2025,project-beta,honest-circuit,calm-vector,Office Beta,Climate,1620,35
2025,project-beta,honest-circuit,daring-orbit,Office Beta,Climate,1180,0
2025,project-beta,honest-circuit,eager-matrix,Office Beta,Climate,1210,55
2025,project-gamma,eager-matrix,brisk-signal,Office Gamma,Energy,1800,150
2025,project-gamma,eager-matrix,eager-matrix,Office Gamma,Energy,1290,80
2025,project-gamma,eager-matrix,gentle-lattice,Office Gamma,Energy,1020,55
2025,project-delta,daring-orbit,amber-river,Office Delta,Physics,940,0
2025,project-delta,daring-orbit,gentle-lattice,Office Delta,Physics,1480,110
2025,project-delta,daring-orbit,honest-circuit,Office Delta,Physics,1110,45
2026,project-alpha,honest-circuit,amber-river,Office Alpha,Materials,1560,140
2026,project-alpha,honest-circuit,brisk-signal,Office Alpha,Materials,1340,75
2026,project-alpha,honest-circuit,calm-vector,Office Alpha,Materials,1120,50
2026,project-beta,gentle-lattice,calm-vector,Office Beta,Climate,1680,40
2026,project-beta,gentle-lattice,daring-orbit,Office Beta,Climate,1240,0
2026,project-beta,gentle-lattice,eager-matrix,Office Beta,Climate,1270,60
2026,project-gamma,honest-circuit,brisk-signal,Office Gamma,Energy,1860,160
2026,project-gamma,honest-circuit,eager-matrix,Office Gamma,Energy,1350,85
2026,project-gamma,honest-circuit,gentle-lattice,Office Gamma,Energy,1080,60
2026,project-delta,brisk-signal,amber-river,Office Delta,Physics,1000,0
2026,project-delta,brisk-signal,gentle-lattice,Office Delta,Physics,1540,120
2026,project-delta,brisk-signal,honest-circuit,Office Delta,Physics,1170,50
